1;0.246;0.083;0.286
2;0.224;0.082;0.286
3;0.225;0.081;0.153
4;0.225;0.082;0.146
5;0.225;0.081;0.21
6;0.207;0.082;0.255
7;0.207;0.081;0.283
8;0.206;0.082;0.258
9;0.184;0.082;0.252
10;0.226;0.081;0.252
12;0.244;0.083;0.259
13;0.186;0.082;0.252
14;0.205;0.081;0.272
15;0.206;0.083;0.222
16;0.206;0.082;0.163
17;0.186;0.082;0.189
19;0.205;0.082;0.232
20;0.207;0.083;0.286
21;0.207;0.081;0.282
22;0.207;0.081;0.281
23;0.209;0.083;0.261
24;0.185;0.082;0.3
25;0.207;0.083;0.286
26;0.269;0.082;0.315
27;0.185;0.081;0.232
28;0.247;0.083;0.291
29;0.264;0.081;0.127
30;0.228;0.083;0.213
31;0.228;0.083;0.197
33;0.243;0.081;0.128
34;0.268;0.082;0.138
35;0.208;0.083;0.244
36;0.246;0.084;0.327
37;0.186;0.081;0.217
38;0.208;0.081;0.206
39;0.207;0.083;0.227
40;0.185;0.083;0.241
41;0.228;0.084;0.255
42;0.205;0.083;0.256
43;0.225;0.082;0.213
44;0.208;0.083;0.195
45;0.268;0.083;0.256
46;0.248;0.083;0.229
47;0.227;0.083;0.266
48;0.226;0.082;0.242
49;0.223;0.083;0.234
50;0.208;0.083;0.239
51;0.228;0.068;0.199
52;0.208;0.083;0.287
54;0.225;0.082;0.205
55;0.206;0.083;0.252
56;0.209;0.083;0.275
57;0.226;0.084;0.148
58;0.208;0.083;0.21
59;0.207;0.082;0.281
60;0.21;0.083;0.28
61;0.207;0.082;0.284
62;0.184;0.081;0.247
63;0.208;0.084;0.232
64;0.206;0.104;0.262
65;0.227;0.081;0.21
67;0.208;0.083;0.259
68;0.187;0.083;0.27
69;0.228;0.065;0.201
70;0.208;0.082;0.203
71;0.245;0.082;0.17
72;0.185;0.083;0.292
73;0.208;0.082;0.237
74;0.21;0.083;0.191
75;0.226;0.083;0.288
76;0.228;0.084;0.215
77;0.208;0.082;0.272
78;0.228;0.083;0.214
79;0.205;0.102;0.249
80;0.226;0.082;0.256
81;0.225;0.081;0.204
83;0.226;0.082;0.236
84;0.229;0.084;0.215
85;0.227;0.083;0.288
86;0.208;0.08;0.278
87;0.208;0.083;0.273
88;0.21;0.084;0.211
90;0.227;0.081;0.282
91;0.208;0.084;0.273
92;0.27;0.083;0.241
93;0.209;0.083;0.255
94;0.268;0.082;0.248
95;0.227;0.082;0.26
96;0.209;0.081;0.262
97;0.205;0.082;0.248
98;0.209;0.082;0.258
99;0.228;0.083;0.251
100;0.208;0.082;0.213
101;0.185;0.081;0.26
102;0.228;0.083;0.23
103;0.247;0.084;0.135
104;0.209;0.083;0.283
105;0.246;0.083;0.218
106;0.208;0.083;0.277
107;0.208;0.083;0.234
108;0.21;0.083;0.176
109;0.208;0.083;0.196
110;0.225;0.083;0.231
111;0.207;0.083;0.225
112;0.21;0.083;0.268
114;0.185;0.082;0.228
115;0.227;0.082;0.279
116;0.227;0.082;0.225
117;0.227;0.083;0.258
118;0.209;0.084;0.275
119;0.209;0.083;0.288
120;0.25;0.068;0.188
121;0.249;0.084;0.27
122;0.208;0.082;0.25
123;0.227;0.083;0.217
124;0.207;0.083;0.285
125;0.185;0.081;0.263
126;0.209;0.082;0.264
127;0.226;0.082;0.211
128;0.208;0.083;0.262
129;0.207;0.083;0.205
130;0.207;0.083;0.243
131;0.248;0.084;0.21
132;0.19;0.082;0.228
133;0.209;0.082;0.171
134;0.184;0.08;0.264
135;0.227;0.082;0.262
136;0.269;0.082;0.22
137;0.225;0.082;0.222
138;0.166;0.084;0.276
139;0.208;0.082;0.155
140;0.203;0.12;0.21
141;0.207;0.082;0.258
142;0.269;0.083;0.212
143;0.208;0.082;0.211
144;0.205;0.083;0.255
145;0.225;0.082;0.246
146;0.209;0.083;0.269
147;0.224;0.065;0.203
149;0.24;0.082;0.23
150;0.206;0.082;0.19
151;0.204;0.081;0.18
152;0.226;0.081;0.193
153;0.208;0.082;0.229
154;0.208;0.082;0.17
155;0.208;0.082;0.251
156;0.228;0.081;0.243
157;0.226;0.083;0.277
158;0.207;0.083;0.288
159;0.205;0.101;0.204
160;0.226;0.083;0.168
161;0.227;0.083;0.256
162;0.227;0.08;0.25
163;0.208;0.083;0.23
164;0.184;0.081;0.254
165;0.268;0.082;0.199
166;0.207;0.082;0.243
167;0.205;0.102;0.277
